pop_size, elite_size, mut_rate, mut_type, cross_type, time_avg (s), best_distance_avg,  nr_generations_avg
300, 60, 0.001, insert, order, 137.8573748588562, 20848.4, 174.2
300, 60, 0.001, insert, cycle, 38.82584447860718, 32973.0, 47.4
300, 60, 0.001, disp, order, 149.01338610649108, 19676.4, 188.6
300, 60, 0.001, disp, cycle, 41.84760231971741, 32045.4, 51
300, 60, 0.01, swap, order, 189.3403482913971, 18226.4, 240
300, 60, 0.01, swap, cycle, 88.95707268714905, 29610.4, 111.2
300, 60, 0.01, invert, order, 196.52822051048278, 15955.0, 250
300, 60, 0.01, invert, cycle, 178.25913224220275, 26354.4, 225.6
300, 60, 0.01, insert, order, 192.67739844322205, 17866.8, 243.8
300, 60, 0.01, insert, cycle, 120.46808190345764, 28936.2, 151.4
300, 60, 0.01, disp, order, 182.94685411453247, 17351.0, 232.8
300, 60, 0.01, disp, cycle, 75.70162305831909, 30806.8, 94
300, 60, 0.1, swap, order, 195.4428410053253, 16724.0, 250
300, 60, 0.1, swap, cycle, 197.28126306533812, 21178.4, 250
300, 60, 0.1, invert, order, 164.4791471004486, 18860.8, 210.8
300, 60, 0.1, invert, cycle, 197.0028591156006, 20247.2, 250
300, 60, 0.1, insert, order, 196.09911003112794, 16319.2, 250
300, 60, 0.1, insert, cycle, 197.6747947216034, 21028.0, 250
300, 60, 0.1, disp, order, 155.33963623046876, 19819.6, 198.6
300, 60, 0.1, disp, cycle, 197.29687623977662, 21391.2, 250
